0,1,2,3,4,brand,model,trim,body_type,fuel_type,transmission_type,engine_capacity_cc,horsepower,exterior_color,interior_color,warranty,city,seller_type,price
-4.797128730943291,,490.62514486068955,0.9739640725116718,-15.2321165133079,Audi,Q3,S-line,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,White,Brown,No,Dubai,Owner,109000
-4.778452432188082,-8.336600172851568,400.04719681873365,6.992556293021388,-16.147616277280775,Mercedes-Benz,G-Class,G 63 AMG,SUV,Petrol,Automatic Transmission,,500 - 599 HP,Black,Unknown,Yes,Dubai,Dealer,849000
-4.719080596076343,-8.387481838448892,0.044799783565579405,1.5949299373129413,-10.05409377777952,Toyota,FJ Cruiser,GXR,SUV,Petrol,Automatic Transmission,4000+ cc,200 - 299 HP,White,Black,Yes,Dubai,Dealer,161900
-4.824161170858635,-8.114221316900464,,1.1206786943346225,-15.721067186124895,Hyundai,Creta,GL,SUV,Petrol,Automatic Transmission,1500 - 1999 cc,100 - 199 HP,Blue,Unknown,Yes,Dubai,Dealer,66900
-4.818257558774469,-7.565243637179178,20.17907658296534,1.4681005119657418,14.147784510931924,Nissan,X-Trail,S 4WD,SUV,Petrol,Automatic Transmission,2000 - 2499 cc,200 - 299 HP,White,Beige,Does not apply,Dubai,Dealer,35000
,-7.532246480030237,2.988345674026857,1.2329095849597818,-1.8405182235059105,Nissan,Altima,S,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,Black,Black,Does not apply,Abu Dhabi,Owner,21500
-5.0828917251061885,-7.83564105289096,3.818566245267776,1.3674001737741963,-5.432402984837278,Toyota,Hiace,GL,Van,Petrol,Manual Transmission,2500 - 2999 cc,200 - 299 HP,White,Black,No,Dubai,Dealer,65000
-4.784411894944523,-7.629747539819451,1.9218779548727853,0.9134656564743586,,Suzuki,Swift,GL,SUV,Petrol,Automatic Transmission,1000 - 1499 cc,100 - 199 HP,Blue,Unknown,Yes,Dubai,Dealer,65000
-5.103371215896973,-8.16585931637213,1.3244959826994571,7.601988311623684,,Land Rover,Range Rover Sport,SV,SUV,Petrol,Automatic Transmission,4000+ cc,500 - 599 HP,Gold,Unknown,Yes,Dubai,Owner,1130
-4.744746671824743,-8.237804170737729,1.5010757139165656,0.8809933610739747,-15.322581333511344,Kia,K5,Other,Sedan,Petrol,Automatic Transmission,2000 - 2499 cc,100 - 199 HP,White,Beige,No,Dubai,Dealer,82000
